target,port,protocol,service,banner,status,timestamp,timeout_used,retries
45.33.32.156,22,TCP,SSH,"SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13
Protocol mismatch.",open,2025-06-04 16:37:02,1.0,1
45.33.32.156,23,TCP,,,closed,2025-06-04 16:37:04,1.0,3
45.33.32.156,26,TCP,,,closed,2025-06-04 16:37:04,1.0,3
45.33.32.156,30,TCP,,,closed,2025-06-04 16:37:04,1.0,3
45.33.32.156,29,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,38,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,39,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,24,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,34,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,27,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,21,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,36,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,28,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,31,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,25,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,32,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,20,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,35,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,33,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,37,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,40,TCP,,,closed,2025-06-04 16:37:05,1.0,3
45.33.32.156,44,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,51,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,41,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,55,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,52,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,42,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,49,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,53,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,46,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,50,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,47,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,43,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,45,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,48,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,58,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,57,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,54,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,56,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,59,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,60,TCP,,,closed,2025-06-04 16:37:08,1.0,3
45.33.32.156,80,TCP,HTTP,No banner,open,2025-06-04 16:37:09,1.0,1
45.33.32.156,62,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,64,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,63,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,70,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,61,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,68,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,73,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,74,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,71,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,72,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,66,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,65,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,67,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,75,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,69,TCP,,,closed,2025-06-04 16:37:11,1.0,3
45.33.32.156,76,TCP,,,closed,2025-06-04 16:37:11,1.0,3
